,title,artist,top genre,year,country,val,dur
291,Amor a Primera Vista,Los Angeles Azules,grupera,2019,bolivia,95,221
787,April,Fiersa Besari,indonesian indie,2014,indonesia,57,264
683,Aristocrate,Heuss L'enfoiré,french hip hop,2019,france,63,170
289,Atrévete,Nicky Jam,latin,2019,bolivia,59,198
688,Avant toi,Vitaa,francoton,2019,france,25,224
114,Aventura,Lunay,latin,2019,argentina,88,217
267,Aventura,Lunay,latin,2019,bolivia,88,217
465,Aventura,Lunay,latin,2019,colombia,88,217
513,Aventura,Lunay,latin,2019,chile,88,217
563,Aventura,Lunay,latin,2019,spain,88,217
488,Aventurero,Yeison Jimenez,colombian pop,2019,colombia,90,190
412,Ayy Macarena,Tyga,pop rap,2019,germany,72,132
864,Ayy Macarena,Tyga,pop rap,2019,italy,72,132
334,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,sertanejo universitario,2019,brazil,85,174
533,B11 (feat. Myke Towers),Rvssian,latin,2019,chile,20,252
582,B11 (feat. Myke Towers),Rvssian,latin,2019,spain,20,252
611,BOP,DaBaby,nc hip hop,2019,usa,84,160
885,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,italy,28,200
185,Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,hollywood,2014,australia,56,166
383,"Baby, It's Cold Outside",Brett Eldredge,contemporary country,2016,canada,68,174
394,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,canada,54,144
643,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,usa,54,144
674,Baianá,Bakermat,deep euro house,2019,france,49,182
605,Bandit (with YoungBoy Never Broke Again),Juice WRLD,chicago rap,2019,usa,43,189
886,Barrio,Mahmood,italian arena pop,2019,italy,57,165
76,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,africa,55,198
763,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,indonesia,55,198
816,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,israel,55,198
986,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,malasya,55,198
321,Bebi Liguei - Ao Vivo,Marília Mendonça,sertanejo,2019,brazil,68,160
346,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,sertanejo universitario,2019,brazil,47,182
992,Before You Go,Lewis Capaldi,pop,2019,malasya,18,215
725,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,india,35,372
711,Believer,Imagine Dragons,modern rock,2017,india,67,204
287,Bellaquita,Dalex,latin,2019,bolivia,77,205
125,Bellaquita - Remix,Dalex,latin,2019,argentina,76,305
278,Bellaquita - Remix,Dalex,latin,2019,bolivia,76,305
475,Bellaquita - Remix,Dalex,latin,2019,colombia,76,305
523,Bellaquita - Remix,Dalex,latin,2019,chile,76,305
573,Bellaquita - Remix,Dalex,latin,2019,spain,76,305
793,Bicara (feat. Monita Tahalea),TheOvertunes,indonesian pop,2019,indonesia,37,236
549,Blanca Navidad,Luis Miguel,bolero,2006,chile,18,212
127,Blanco,J Balvin,latin,2019,argentina,59,146
280,Blanco,J Balvin,latin,2019,bolivia,59,146
472,Blanco,J Balvin,latin,2019,colombia,59,146
572,Blanco,J Balvin,latin,2019,spain,59,146
10,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,world,35,202
207,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,belgium,35,202
404,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,germany,35,202
656,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,france,35,202
704,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,india,35,202
810,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,israel,35,202
961,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,malasya,35,202
694,Block,Larry,french hip hop,2019,france,71,157
30,Blue Christmas,Elvis Presley,adult standards,1957,world,58,129
73,Blue Christmas,Elvis Presley,adult standards,1957,africa,58,129
174,Blue Christmas,Elvis Presley,adult standards,1957,australia,58,129
229,Blue Christmas,Elvis Presley,adult standards,1957,belgium,58,129
371,Blue Christmas,Elvis Presley,adult standards,1957,canada,58,129
624,Blue Christmas,Elvis Presley,adult standards,1957,usa,58,129
884,Bossoli,Shiva,italian hip hop,2019,italy,80,179
761,Boy With Luv (feat. Halsey),BTS,k-pop,2019,indonesia,80,230
984,Boy With Luv (feat. Halsey),BTS,k-pop,2019,malasya,80,230
676,Bâtiment,Niska,french hip hop,2019,france,65,211
139,C90 - Remix,John C,argentine hip hop,2019,argentina,61,316
138,CANGURO,WOS,argentine indie,2019,argentina,93,197
890,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,italian hip hop,2019,italy,48,258
425,COLT,Samra,german hip hop,2019,germany,18,180
877,CRUDELIA - I nervi,Marracash,italian hip hop,2019,italy,7,231
108,Callaita,Bad Bunny,latin,2019,argentina,24,251
258,Callaita,Bad Bunny,latin,2019,bolivia,24,251
457,Callaita,Bad Bunny,latin,2019,colombia,24,251
509,Callaita,Bad Bunny,latin,2019,chile,24,251
560,Callaita,Bad Bunny,latin,2019,spain,24,251
126,Calma - Remix,Pedro Capó,latin,2018,argentina,76,238
766,Can We Kiss Forever?,Kina,pop,2018,indonesia,12,188
491,Cariñito,Rodolfo Aicardi,classic colombian pop,2012,colombia,95,227
635,Carol of the Bells,Mykola Dmytrovych Leontovych,post-romantic era,1990,usa,80,85
347,Carreira Solo - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,92,216
778,Celengan Rindu,Fiersa Besari,indonesian indie,2014,indonesia,66,224
729,Chal Bombay,DIVINE,desi hip hop,2019,india,51,174
312,Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,brazil,96,120
739,Chandigarh Mein,Badshah,desi hip hop,2019,india,34,205
