,title,artist,top genre,year,country,val,dur
757,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,indonesia,43,168
966,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,malasya,43,168
776,100 Degrees,Rich Brian,indonesian hip hop,2019,indonesia,66,166
532,105 F Remix,KEVVO,perreo,2019,chile,74,464
584,105 F Remix,KEVVO,perreo,2019,spain,74,464
434,200 km/h,Apache 207,german hip hop,2019,germany,41,163
190,2000 Miles - 2007 Remaster,Pretenders,album rock,1984,australia,45,220
313,3 Batidas - Ao Vivo,Guilherme & Benuto,sertanejo pop,2019,brazil,53,157
813,7 rings,Ariana Grande,dance pop,2019,israel,33,179
198,8 Days of Christmas,Destiny's Child,dance pop,1999,australia,64,210
727,8 Parche,Baani Sandhu,punjabi pop,2019,india,73,210
686,93% [Tijuana],GLK,francoton,2019,france,80,223
328,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,brazil,63,183
590,A Dónde Vamos,Morat,colombian pop,2019,spain,96,203
337,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,83,238
43,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,world,86,133
81,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,africa,86,133
182,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,australia,86,133
241,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,belgium,86,133
388,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,canada,86,133
636,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,usa,86,133
897,ANSIA NO,FSK SATELLITE,italian hip hop,2019,italy,71,149
298,Adan y Eva,Paulo Londra,argentine hip hop,2019,bolivia,72,257
107,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,argentina,62,271
259,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,bolivia,62,271
458,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,colombia,62,271
508,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,chile,62,271
559,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,spain,62,271
485,Adonay,Rodolfo Aicardi,classic colombian pop,2014,colombia,97,187
175,Adore You,Harry Styles,dance pop,2019,australia,57,207
983,Adore You,Harry Styles,dance pop,2019,malasya,57,207
782,Adu Rayu,Yovie Widianto,indonesian pop,2019,indonesia,22,208
97,Akulaleki,Samthing Soweto,afro house,2019,africa,34,382
330,Algo Mais (Amante) - Ao Vivo,Xand Avião,funk carioca,2019,brazil,67,232
479,Alguien Me Gusta,Andy Rivera,latin,2019,colombia,81,169
548,Algún Día Volveras,Santaferia,cumbia chilena,2018,chile,69,254
432,Alien,RIN,german cloud rap,2019,germany,85,209
4,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,world,35,241
54,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,africa,35,241
154,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,australia,35,241
204,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,belgium,35,241
251,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,bolivia,35,241
352,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,canada,35,241
402,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,germany,35,241
501,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,chile,35,241
