,title,artist,top genre,year,country,val
475,Bellaquita - Remix,Dalex,latin,2019,colombia,76
523,Bellaquita - Remix,Dalex,latin,2019,chile,76
573,Bellaquita - Remix,Dalex,latin,2019,spain,76
793,Bicara (feat. Monita Tahalea),TheOvertunes,indonesian pop,2019,indonesia,37
549,Blanca Navidad,Luis Miguel,bolero,2006,chile,18
127,Blanco,J Balvin,latin,2019,argentina,59
280,Blanco,J Balvin,latin,2019,bolivia,59
472,Blanco,J Balvin,latin,2019,colombia,59
572,Blanco,J Balvin,latin,2019,spain,59
10,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,world,35
207,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,belgium,35
404,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,germany,35
656,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,france,35
704,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,india,35
810,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,israel,35
961,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,malasya,35
694,Block,Larry,french hip hop,2019,france,71
30,Blue Christmas,Elvis Presley,adult standards,1957,world,58
73,Blue Christmas,Elvis Presley,adult standards,1957,africa,58
174,Blue Christmas,Elvis Presley,adult standards,1957,australia,58
229,Blue Christmas,Elvis Presley,adult standards,1957,belgium,58
371,Blue Christmas,Elvis Presley,adult standards,1957,canada,58
624,Blue Christmas,Elvis Presley,adult standards,1957,usa,58
884,Bossoli,Shiva,italian hip hop,2019,italy,80
761,Boy With Luv (feat. Halsey),BTS,k-pop,2019,indonesia,80
984,Boy With Luv (feat. Halsey),BTS,k-pop,2019,malasya,80
676,Bâtiment,Niska,french hip hop,2019,france,65
139,C90 - Remix,John C,argentine hip hop,2019,argentina,61
138,CANGURO,WOS,argentine indie,2019,argentina,93
890,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,italian hip hop,2019,italy,48
425,COLT,Samra,german hip hop,2019,germany,18
877,CRUDELIA - I nervi,Marracash,italian hip hop,2019,italy,7
108,Callaita,Bad Bunny,latin,2019,argentina,24
258,Callaita,Bad Bunny,latin,2019,bolivia,24
457,Callaita,Bad Bunny,latin,2019,colombia,24
509,Callaita,Bad Bunny,latin,2019,chile,24
560,Callaita,Bad Bunny,latin,2019,spain,24
126,Calma - Remix,Pedro Capó,latin,2018,argentina,76
766,Can We Kiss Forever?,Kina,pop,2018,indonesia,12
491,Cariñito,Rodolfo Aicardi,classic colombian pop,2012,colombia,95
635,Carol of the Bells,Mykola Dmytrovych Leontovych,post-romantic era,1990,usa,80
347,Carreira Solo - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,92
778,Celengan Rindu,Fiersa Besari,indonesian indie,2014,indonesia,66
